epoch,train_loss,train_acc,test_loss,test_acc
1,1.6988444412994386,0.3778,1.4397577053070068,0.4726
2,1.44809806388855,0.47682,1.3558868532180786,0.5149
3,1.3588239668273925,0.51454,1.2554459049224853,0.5531
4,1.2939666223526,0.54076,1.1454541284561157,0.5918
5,1.2548186833190917,0.5585,1.1382291156768798,0.5896
6,1.218143956489563,0.5719,1.0854549251556396,0.6153
7,1.1958105741882323,0.58272,1.074096905708313,0.6225
8,1.1723949824523925,0.59004,1.0666798398017883,0.6217
9,1.1518700082397462,0.59698,1.0674984748840333,0.6256
10,1.1350129988861084,0.60476,1.0726156002044678,0.617
11,1.1211426230049133,0.6125,1.0308456804275512,0.6352
12,1.0992037617874146,0.61852,1.0285046202659607,0.6376
13,1.0939908891677856,0.6207,1.0314602590560913,0.6404
14,1.0857131060791017,0.62234,1.0109120554924012,0.6438
15,1.071537096786499,0.63116,1.0234004328727722,0.643
16,1.066204906349182,0.63504,0.970493208694458,0.6619
17,1.0499809275054932,0.63636,1.01083070268631,0.641
18,1.042829487915039,0.63994,0.9813158493995666,0.6578
19,1.040253381690979,0.64218,0.9938218886375427,0.6537
20,1.0376299601745604,0.64042,0.9821832392692565,0.6601
